qid,tipo,question,eligible,common,final,raw_unvalidated,common_f1,final_f1,raw_unvalidated_f1,delta,status
locomo:conv-26:qa91,single-hop,What does Caroline's necklace symbolize?,False,"love, faith and strength","love, faith and strength","love, faith and strength",1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa128,single-hop,What did Caroline find in her neighborhood during her walk?,False,a cool rainbow sidewalk for Pride Month,a cool rainbow sidewalk for Pride Month,a cool rainbow sidewalk for Pride Month,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa132,single-hop,How long has Melanie been creating art?,False,seven years,seven years,seven years,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa24,multi-hop,What does Melanie do to destress?,True,running,running,running,0.5,0.5,0.5,0.0,generated_answer
locomo:conv-26:qa117,single-hop,How often does Melanie go to the beach with her kids?,True,once or twice a year,once or twice a year,once or twice a year,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa97,single-hop,What workshop did Caroline attend recently?,True,LGBTQ+ counseling workshop,LGBTQ+ counseling workshop,LGBTQ+ counseling workshop,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa4,multi-hop,What is Caroline's identity?,False,transgender,transgender,transgender,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,generated_answer
locomo:conv-26:qa122,single-hop,Why did Melanie choose to use colors and patterns in her pottery project?,False,to catch the eye and make people smile,to catch the eye and make people smile,to catch the eye and make people smile,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,generated_answer
locomo:conv-26:qa40,multi-hop,How many times has Melanie gone to the beach in 2023?,False,2,2,2,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa130,single-hop,Which  classical musicians does Melanie enjoy listening to?,True,"Bach, Mozart",Bach and Mozart,Bach and Mozart,1.0,1.0,1.0,0.0,generated_answer
locomo:conv-26:qa108,single-hop,What does Melanie say running has been great for?,True,mental health,destressing and clearing her mind,destressing and clearing her mind,0.8,0.28571428571428575,0.28571428571428575,-0.5142857142857142,generated_answer
locomo:conv-26:qa32,multi-hop,What LGBTQ+ events has Caroline participated in?,True,"LGBTQ+ pride event, LGBTQ art show, LGBTQ pride parade, LGBTQ support group, transgender conference, LGBTQ counseling workshop",insufficient information,"LGBTQ pride event, LGBTQ art show, pride parade, LGBTQ support group, LGBTQ conference",0.5333333333333333,0.0,0.6,-0.5333333333333333,local_rejection_present
locomo:conv-26:qa95,single-hop,What did Melanie and her family do while camping?,True,"roasted marshmallows around the campfire, went on a hike",insufficient information,"roast marshmallows, tell stories around the campfire and enjoy each other's company",0.7142857142857143,0.0,0.23529411764705882,-0.7142857142857143,local_rejection_present
locomo:conv-26:qa83,single-hop,What did Melanie realize after the charity race?,False,self-care is really important,self-care is really important,self-care is really important,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,generated_answer
