qid,tipo,question,gold,answer,old_answer,f1,old_f1,delta,all_support,missing,missing_in_frontier,missing_in_acquisition,missing_in_logged_candidates,closed,covered_closed,zero_candidates,binding_conflict,proof,failure,verified,accepted,verification_failures,context_changed,same_order,same_set,llm,hits,seconds
locomo:conv-26:qa91,single-hop,What does Caroline's necklace symbolize?,"love, faith, and strength","love, faith and strength","love, faith and strength",1.0,1.0,0.0,True,,,,,1,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,True,True,6,0,16.978
locomo:conv-26:qa128,single-hop,What did Caroline find in her neighborhood during her walk?,a rainbow sidewalk,a cool rainbow sidewalk for Pride Month,a cool rainbow sidewalk for Pride Month,0.5,0.5,0.0,True,,,,,1,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,7,0,18.608999999999998
locomo:conv-26:qa132,single-hop,How long has Melanie been creating art?,7 years,seven years,seven years,0.5,0.5,0.0,True,,,,,2,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""incomplete_answer"": 1}",False,False,False,8,0,22.35
locomo:conv-26:qa24,multi-hop,What does Melanie do to destress?,"Running, pottery",running,running,0.5,0.5,0.0,False,p-b6988067a40ba3366c404f34,p-b6988067a40ba3366c404f34,,,1,1,0,0,full,none,2,2,{},True,False,False,7,0,13.968
locomo:conv-26:qa117,single-hop,How often does Melanie go to the beach with her kids?,once or twice a year,once or twice a year,once or twice a year,1.0,1.0,0.0,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,8,0,17.741
locomo:conv-26:qa97,single-hop,What workshop did Caroline attend recently?,LGBTQ+ counseling workshop,LGBTQ+ counseling workshop,LGBTQ+ counseling workshop,1.0,1.0,0.0,True,,,,,2,2,0,0,nenhuma,no_verified_witness,2,0,"{""not_explicit"": 2}",False,False,False,8,0,16.511
locomo:conv-26:qa4,multi-hop,What is Caroline's identity?,Transgender woman,transgender,transgender woman,0.6666666666666666,1.0,-0.33333333333333337,True,,,,,1,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_answer_type"": 1}",False,False,False,7,0,30.267
locomo:conv-26:qa122,single-hop,Why did Melanie choose to use colors and patterns in her pottery project?,She wanted to catch the eye and make people smile.,to catch the eye and make people smile,to catch the eye and make people smile,0.8571428571428571,0.8571428571428571,0.0,True,,,,,3,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,8,0,18.143
locomo:conv-26:qa40,multi-hop,How many times has Melanie gone to the beach in 2023?,2,2,1,1.0,0.0,1.0,True,,,,,0,0,0,0,nenhuma,invalid_or_unsupported_plan,0,0,{},False,False,False,3,0,6.168
locomo:conv-26:qa130,single-hop,Which  classical musicians does Melanie enjoy listening to?,Bach and Mozart,"Bach, Mozart",insufficient information,1.0,0.0,1.0,True,,,,,3,2,0,0,nenhuma,closed_coverage_rejected,2,0,"{""wrong_identity"": 2}",False,False,False,9,0,20.427999999999997
locomo:conv-26:qa108,single-hop,What does Melanie say running has been great for?,Her mental health,mental health,mental health,0.8,0.8,0.0,True,,,,,1,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,6,0,49.035
locomo:conv-26:qa32,multi-hop,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group","LGBTQ+ pride event, LGBTQ art show, LGBTQ pride parade, LGBTQ support group, transgender conference, LGBTQ counseling workshop","LGBTQ pride event, LGBTQ art show, LGBTQ activist group meetings, LGBTQ counseling workshop, LGBTQ+ pride parade",0.5333333333333333,0.37777777777777777,0.15555555555555556,False,p-3684dacb8df36e59057db822,p-3684dacb8df36e59057db822,,,2,1,0,0,nenhuma,closed_coverage_rejected,2,0,"{""invalid_evidence"": 1, ""not_explicit"": 1}",False,False,False,8,0,21.439999999999998
locomo:conv-26:qa95,single-hop,What did Melanie and her family do while camping?,"explored nature, roasted marshmallows, and went on a hike","roasted marshmallows around the campfire, went on a hike","roast marshmallows, tell stories around the campfire",0.7142857142857143,0.30769230769230765,0.40659340659340665,True,,,,,1,1,0,1,nenhuma,binding_conflict_or_beam_cut,2,0,"{""invalid_evidence"": 2}",False,False,False,8,0,23.862
locomo:conv-26:qa83,single-hop,What did Melanie realize after the charity race?,self-care is important,self-care is really important,self-care is really important,0.8571428571428571,0.8571428571428571,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,7,0,17.746000000000002
locomo:conv-26:qa106,single-hop,What are the new shoes that Melanie got used for?,Running,running,running,1.0,1.0,0.0,True,,,,,2,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""wrong_identity"": 1}",False,False,False,8,0,14.542
locomo:conv-26:qa87,single-hop,Why did Caroline choose the adoption agency?,because of their inclusivity and support for LGBTQ+ individuals,They help LGBTQ+ folks with adoption. Their inclusivity and support really spoke to her.,They help LGBTQ+ folks with adoption. Their inclusivity and support really spoke to her.,0.380952380952381,0.380952380952381,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,7,0,17.829
locomo:conv-26:qa100,single-hop,What kind of place does Caroline want to create for people?,a safe and inviting place for people to grow,a more loving world,a more loving world,0.0,0.0,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""incomplete_answer"": 1}",False,False,False,7,0,15.068
locomo:conv-26:qa82,single-hop,What did the charity race raise awareness for?,mental health,mental health,mental health,1.0,1.0,0.0,True,,,,,2,1,0,0,full,none,1,1,{},False,True,True,7,0,14.311
locomo:conv-26:qa116,single-hop,What inspired Caroline's painting for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,visiting a LGBTQ center,expressing her trans experience and helping people understand the trans community,0.5454545454545454,0.0,0.5454545454545454,True,,,,,1,0,1,0,nenhuma,closed_coverage_rejected,1,0,"{""invalid_evidence"": 1}",False,False,False,7,0,18.128
locomo:conv-26:qa94,single-hop,What is Melanie's hand-painted bowl a reminder of?,art and self-expression,insufficient information,insufficient information,0.0,0.0,0.0,True,,,,,1,1,1,0,nenhuma,zero_atom_candidates,2,0,"{""wrong_answer_type"": 1, ""invalid_evidence"": 1}",False,False,False,7,0,18.637
locomo:conv-26:qa76,multi-hop,When did Melanie go on a hike after the roadtrip?,19 October 2023,insufficient information,insufficient information,0.0,0.0,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""missing_atom"": 1}",False,False,False,7,0,12.902
locomo:conv-26:qa115,single-hop,Why are flowers important to Melanie?,They remind her to appreciate the small moments and were a part of her wedding decor,"represent growth, beauty and reminding us to appreciate the small moments","represent growth, beauty and reminding us to appreciate the small moments",0.4545454545454546,0.4545454545454546,0.0,True,,,,,2,0,0,0,nenhuma,closed_coverage_rejected,1,0,"{""not_explicit"": 1}",False,False,False,7,0,14.105
locomo:conv-26:qa23,multi-hop,What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""","Charlotte's Web, a book about pottery",insufficient information,0.5,0.0,0.5,True,,,,,1,1,0,0,nenhuma,no_verified_witness,2,0,"{""not_explicit"": 1, ""wrong_answer_type"": 1}",False,False,False,7,0,10.868
